name,tokens/k,cost/$
8e104cc58e62de0eab837ac09b01d30e85f79045cc1803fa2ef4eafbdbd41e8d,8.147,0.058731
8e5c8ac9bacfbf9516847f8f6421f408c323065ff4c61d9c0afc22beb7b9833e,4.283,0.029073
8e7eac5013699d34af9b001e61be38b410d98ef661ad11af37b356606eb63799,8.721,0.077279
8e9353fc3c070861eb933c7c33f2d08d7c015496e81b90d48d9ea6d6700ed1ed,6.251,0.044372
8e9dd45d81352c2fe6f6b6ab124ae81d2b6485dba434bd59cfe8ce44f7628b24,12.354,0.068577
8eff332ab33fde8c4e9145d620f7d9beabbd7075e46e45bc87167a2c66e604c7,15.928,0.114602
8f03c75dbf16f2b3c9ec82f979072ac746499c950c86e56d655ccc1a943282f3,8.461,0.057616
8fe31269d1acd87ef39cde0b6f82a8a5088bb526eb3e43e1adfde86392901490,18.761,0.102051
9a38991461288014473dd1d6de00238a69d14ff36bc5a555ac4d88479da1e0af,11.658,0.061582
9ba9a1a91f95af2c080fd2620128c13397218b88f16999d05b208f0b28b0a2a2,4.37,0.028148
9be9fc05b07871d06030a535b277e451345c1398e537fdad2a0c9cf6487795f2,3.249,0.021649
9c4078d401f7ebc70caa2050740e2562e1c7a2c98d3ff17e9fe590685ac647a6,14.681,0.08694
9c915242926dc9670f91177af0cd7ca492622a184de5af14a43d140800d775f0,16.028,0.085874
9c9ab16f3a94bde179d66cb45b1f50af58ec4b849ce103dafea33f5aef4d888c,2.952,0.02831
9d50a4f9ce524d40bbd02d6e5d8a24bca6b1005065add4bafc69ba198695506d,25.356,0.151394
9d535589dd8c68044fb45c10d2d1b63df28baad16d1d0ad4b187c91a23ee9c87,2.039,0.018467
9d9742a07c77cdccd8c2b6ee17f2855a1479081e1f356073c6df9f749209b77f,24.425,0.211557
9dbe301e6b832184a624e97ee08735397aeb656e4fcb98c2388a57deb2f33e76,3.946,0.034383
9dd0b4db6deee989440abfeddb4280a0a55137479b15af616f506ebf3bd891fb,8.792,0.064194
9e4570851f44cadcd300201d37c67c82bf8d62c435cfbfc073c01c8aa06f8b44,4.152,0.031163
9e784ba34d9b50d98be783a255c397575f3f5a752174101af6e90e78d7758e71,4.211,0.033662
9e8cece950c181dd27eb143dc8d06361508b0087685108f4fb6f0959824c51df,5.75,0.054687
008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,18.55,0.178561
05af0cf40590aef24b28fa04c6b4998b7ab3b7f26e60c507adb84f3d837778f2,28.695,0.203085
067f1b8f1e0b2bfe286f5169e17834e8cf7f4266b8d97f28ea78995dc81b0e7b,10.281,0.069524
06b323e0b626dc4f051596a39f52c46b35f88ea6f85a56de0fd76ec73c7f3851,10.659,0.082627
0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86,23.981,0.186757
0a937d4fe8aa6cb947b95841c490d73e452a3cafcd92645afc353006786aba76,39.695,0.301019
0cf5c4b3399d094fa0c58399fac521e4b2902db7ae1692aa502f5784ac755d49,2.945,0.029412
0e66029132a885143b87b1e49e32663a52737bbff4ab96186e9e5e829aa2915f,8.832,0.080756
0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,3.054,0.023474
12d8bfa1aeb557c146b98f069f3456cc8392863a2f4ad938722cd7ca1a773b39,3.179,0.026312
1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,2.396,0.020485
22d7d67c3af10b1a37f277ebabe2d1eb4fd25afbd6437d4377400e148bcc08d6,8.94,0.092033
26690dae115f47a1e0167750209a30cc68f51c5090e3b908105c93967e5156fa,24.174,0.125618
2b9838da7edb0decd32b086e47a31e8f5733b5981ad8247a2f9508e232589bff,3.461,0.024374
2e434bd96b08293786cd010883adfeacce5a30f5743d89c5187f38966b2e5d21,9.034,0.06946
31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,8.973,0.06848
37f5b68321a9645814569cfdbfa08c363f0e19b077c3b0174e578eff40a69f3b,11.238,0.08317
38e05d599877bf18855ad4d178bcd76718cfad1505328d0444363d1f592b0838,8.663,0.06536
3ff1b90dbad5d78397fdc731c3a3c080d91fc488ac9152793b538b74a1e2d8f3,7.199,0.049799
4022483e73b04fad1ec569d7325f8cc8ed6a2a91e5b62f27319874aedcd675dc,20.282,0.123189
41302ba84885fcc5960d4e474d71f6af7c2a631c24d691179ff0a733eb1a4970,9.432,0.090811
41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c,16.365,0.112617
416235b085b6b86640cac3a78f0bd52583eed7154fc3666f5338bde96db10fab,40.877,0.325
422e0e4e01c826c8a9f31cb3a3b37ba29fb4b4b8c4841e16194258435056d8a3,2.048,0.017636
435781ab608ff908123d9f4758132fa45d459956755d27027a52b8c9e61f9589,12.786,0.119723
43cfb0a439705ab2bd7c46b39a7265ff0a14f7bd710b3e1432a9bdc4c1736c49,28.621,0.221471
48693927ca69d34ee2127d8f22f85037cba703ac6bca49ba0704956f9dc8b57a,22.758,0.174621
4cae449450c07b7aa74314173c7b00d409eabfe22b86859f3b3acedd66010458,17.384,0.137088
4e6c191325b37da546e72f4a7334d820995d744bf7bb1a03605adb3ad30ce9ca,21.141,0.179857
501487b025f25ddf1ca32deb57a2b4db43ccf6635c1edc74b9cff54ce0e5bcfe,7.257,0.053396
515bd71a8b3c2bce7b40b89ddfe2e94d332b0779d569c58117f8dcdcb8a91ed9,4.407,0.041822
52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,8.418,0.048844
53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80,14.774,0.146193
574b7439b7469ed10331f4f383da0631a78c71b388eab0db1399d8606108b0ea,3.882,0.027983
6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,3.324,0.021223
69775389eb0207fec3a3f5649a0ad9315856c810f595c086ac49d68cdbc1d136,14.612,0.112891
6c75998580fb05c01b10f4703299ffd782bec55c8765c030b8a4760fff6045fe,42.653,0.245677
704f1655ce9127d7aab6d82660b48a127b5f00cadd7282acb03c440f21dae5e2,5.386,0.040168
7e0ff0959bbc5565a8b83d46c9f4ac762007703cede8ee668b75af896754c569,2.574,0.021655
7f6dd0ca03f04b64024e86a72a6d7cfab6abccc2173b85896fc4b431990a5984,3.586,0.025346
8203c2f00ecd3ae960cb3247a7d7bfb35e55c38939607c85dbdb5c92f0495fa9,2.929,0.024847
8c1a72991fb04dc3a8cf89605fb85150ef0e742472a0c58b8fa942a1f04877b0,2.707,0.028009
8d2b2a942c9e646a5f388837137a650716e11d95730db7dfeae26ab46778ba99,5.681,0.033202
8fb3250d69b1258fb68f0226170f67b94c79b7d89da0f84c4ade2cb434fa9bd9,16.856,0.123881
903c04976fa6e6721c596354f383a4d4272c6730b29eee00b0ec599265963e74,3.782,0.027904
9107be160f7b639d68fe3670de58ed254d81de6aec9a41ad58d91aa814a247ff,9.016,0.04926
92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9,47.707,0.405774
9a4e4211f7e690ee4a520c491ef7766dcf1cc9859afa991e15538e92b435f3a1,7,0.037886
9bdd7f965d1c67396afb0a84c78b4d12118ff377db7efdca4a1340933120f376,14.042,0.092162
9cee5522a7ca2bfca7cd3d9daba23e9a30deb6205f56c12045839075f7627297,5.154,0.039956
9E87F069DE22CEAC029A4AC56E6305D2DF54227E6B0F0B3ECAD52A01FBADE021,7.097,0.042007
a9643eb83d509ad4eac20a2a89d8571f8d781979ad078e89f5b75b4bcb16f65e,17.015,0.165981
af55838bb4e636ec9c0f917a025db5e9e5c00f823f5dfadbd61c0198eb946b1a,7.333,0.069235
af69df79d359c594030d8deab5e6aaeaf24a231b29e186d087e470056d5f99da,14.36,0.112396
af6b0540ee62ad8a38022308b28fe2125defe3cc74b2dd41249ede878fc3fa3c,3.37,0.024786
af76c4a4ea076f462b5441ac3ddda04f64236d46487b49bebb89da4b39c17324,80.743,0.683441
af7d13056153ac370daf02b407faf17fe043591f4cf4cf763fa8279ca7400f93,5.923,0.047802
af8d42ba95bc866bb143e78e3ba053d9f4d85e7bc5e95b937fca39211924ad32,2.911,0.022706
afaee20e686bb2bcbabbac93fee97a3a263110e3759567bb02c6bf5bff328a8e,7.103,0.055693
afccd53a3767cad0641815321bb6bb16d0a939bce8e60e51693f90b07070b38b,3.716,0.024544
afe57b8d45ab07388514cddbfc06a2367f2bf3a8698f4bb7962ee5f6b4713a24,3.755,0.02372
afffa6db4c87a2c5507350987f736c8aec9c63ed1745d97f9797d4a26f7fe9ca,3.238,0.024247
b04c8ad545f97978956d14f01de3708f3513d078a66b72e92696a54b7532a3df,9.603,0.048491
b06c7b9d15db80fbf45599aad1710a58429d74c91de789669956b823f83af50b,3.188,0.023644
b08c0ee892ea191cb035a6ea195fd5c8829cfb93f3cc35422d4eb350f5701700,8.963,0.048717
b09b26424ff58101eb10ada6d8465d10c20b2e4c750b3aadaa9668a47377edfc,59.974,0.331518
b09cef7d990ff9f40c319d1eea7f1634d5471198158e75f5b45340a05cdda9c1,3.078,0.020857
b0acef906dddfb28a38dd5fb8d0bef9278cfd7c7ce541e596a2d42c9981fdd5d,9.362,0.096249
b0b56543384940405e67336dfbf93c789864b1d4d0053692b0b634991efe9ace,4.866,0.031212
b120edc53a33448344749ae1e2abd9cab75fdad334ce6b3ecab77a8e675ed400,7.12,0.051698
b125c744ff917a71e8ff136e016c11ec282e8550208bd0f7edc4b8a2838e70d7,3.465,0.019844
b12da45793c46c024d7e3ac0623b3632249eeeaab8ef1d161000a68bc93224cc,20.282,0.159163
b13a77517fbf3a9bca47c47373a61fc0259d25e92d3bb512220d1d0735f3a221,8.558,0.061302
b13fbceee477d5a093cfd3e3d230f3fdd69feead99c0eae91fcbe40e0a5b8881,23.639,0.133064
b1b239612f027cf2d7a98fa45491422a3829f5684de4fb9e8abed9efb2159e4e,3.148,0.029464
b1b6180bc13289f536520cb70391fc7c50fe1797f02efc0bb5692b621bbf6cf4,16.442,0.141987
b1d2833cb1560257245f0ce905c0bdb147b0662b998aaa00562cc4b1fcc89ae8,47.787,0.396507
b1e4e0d9e33b9936c1992877858793e841c6dfc7e9d36d3e484e3b5069ffd611,7.901,0.061563
b1e61a0829bcc94eafc1523c928909eac72327d57a7097e30aeacb5c1332fc32,15.663,0.138772
b1ee7ee6cd343e219f22f4541aa19ab745571a1802252ff871d20f22c1a1e702,6.93,0.048596
b23bbad276d48f77efd968537d68dd6a228fc4d7c48ddea21a751c0358c1ef71,19.867,0.152434
b24f05a576b4a18d1ca0d5ddf846af0fb00e448acc9b45adf28d9cbfabc1d12e,18.578,0.145363
b25cd27a30729d8373a9d359b3a059e7a670428b7c4f37a1421fa8fef0ae48e9,4.379,0.04385
b2c2a04fd633d72561b65f127e0e4738a8ce3569c23b57a8e73a58103b52b124,8.461,0.043732
b2c86acc7fcd61d67d231ade3d13426bfd3b5dce13e642a046f7df730b14cd58,5.329,0.032855
b2db162c51aa7bf578524a22517dc29e3efeff86a44b1c609f679f4a4134519d,7.944,0.051387
b2e3ce1ceb4615684bded72d02fce64ffced2dd5e3fb70faefa3467f80f25669,6.96,0.064102
b2e7a263f03af3e7db862f349383b249570ccb85f344bea02f9ee9a4932daf6d,8.316,0.063914
b301c06c751bffd3150c1c1ce6173d2dc33ee8337502354362091dd5663b5882,9.598,0.076645
b324f70666dcb49b6767ddd79e3e6045506ab95afa52fcb09052088830988fb1,18.185,0.133962
b32d332eeb86a8cc966f64f967982244240732589af4abd7c2505b6cfddf71da,14.82,0.09332
b34e3ba77a1c8829537050105f095b4a5d9b57eec4ce7af1f42842296034029d,21.839,0.137167
b35d2e7415703ee088a3e47f623eebd56d591261f05363d31d1d9dbd4771473f,20.432,0.158816
b3a7c0150c39dc1962c5f5a39e664da97d980c353a71f12a7c069c6a6a50dc0e,3.406,0.021518
b3d25ce19f5feb4b8c56c7adb5a6bf11a9dd94c82ab7b45567b41cb29bd2221b,9.351,0.056004
b3d71d5178696d4a14bbeabf5b72b8b9af7c7e3bbd62a3abcf6dc276451d76ef,77.579,0.55615
b3ebc327773f5f846deeb1255475644a630c4d0d3b4eda3bbf995a36599c07cf,7.822,0.067919
b420e522ec1ee85b677b5ca069ff402712be10c565f7e88a6b6a514d82f58b8b,19.115,0.127512
b46db5d12c273bdd09a1532494b35ccc84e9e5a14dd7f95cce2442c34cd26265,32.623,0.238645
b4c9cffe8c020c62d1281b2200edc743debb1b61257b64ee4f9bff631d7a5140,10.889,0.077772
b4d07bb3cf31f4af74721ede31e67462a628d534d3e36fdcc0a4dbc4d83d7da3,2.499,0.022158
b4e2e50f109972ff27f4c137575ebb5ebbd2eca24c2925da5a8b02e8e67d12be,7.946,0.077825
b4f11182ebd9524c0b659a012608d460128542e772cc757b040d24333aaf300b,65.051,0.46103
b51a67b54f7a67e2bcf1420bd4a6006ecb32103af9654954d5f6b0ddd45108dd,17.484,0.12338
b58fa8af29dcaa43fe6c6ee73106e111bcce2f72293ee1193b4fd2f326b91350,8.123,0.057378
b5a56f5b98a9a6c73050f3c6340892fa6b4894ac81eb152f18f364ee43ef0e08,14.233,0.128121
b60e913a4c3427788edd9985bcf31b7f87e581428cdbdc9eedba9f86637ea48a,95.605,0.578149
b64b5dffc4bc5bcc452db27de8fdf50d14fee07dd8d6d68a859f6e4ac9355c80,2.685,0.027348
b68cb414065fc36c45cbf2c653c49ac4f991992d54a8d0f203f3bd3a1dea486e,50.789,0.340811
b68e7ffc925e9f67117f65d97e417745cc0acc7bfe9034a1ef7a181c69292c18,3.508,0.021292
b6a6aaf809e0c9aa1a5cf1526091cadeb542c12af550f5775e9e62357911e11a,5.675,0.033356
